"","spgrp","treatment","trialid","y","nevents","natrisk","y.max","start","time","treatnumf","studynumf"
"82",4,"DB",1,507.0148927,18,96,6,18,24,"DB","1"
"83",4,"DB",7,546.82689429,18,104,6,18,24,"DB","7"
"84",4,"DB+TR",7,620.29031974,15,111,6,18,24,"DB+TR","7"
"85",4,"DB+TR",8,14.053537275,1,15,3.18546845,18,21.18546845,"DB+TR","8"
"86",4,"DTIC",1,114.77083407,6,22,6,18,24,"DTIC","1"
"87",4,"DTIC",2,503.9395504,29,100,6,18,24,"DTIC","2"
"88",4,"DTIC",3,371.905894915,19,71,6,18,24,"DTIC","3"
"89",4,"DTIC",11,475.57620915,18,90,6,18,24,"DTIC","11"
"90",4,"DTIC",12,310.060584905,19,64,6,18,24,"DTIC","12"
"91",4,"DTIC",13,50.67569135,5,15,6,18,24,"DTIC","13"
"92",4,"IPI",4,885.12327231,28,163,6,18,24,"IPI","4"
"93",4,"IPI",5,147.19906453,2,26,6,18,24,"IPI","5"
"94",4,"IPI",9,0.799889579999999,0,14,0.0571349699999999,18,18.05713497,"IPI","9"
"95",4,"IPI",10,653.522845,10,114,6,18,24,"IPI","10"
"96",4,"IPI+DTIC",12,459.464494355,17,86,6,18,24,"IPI+DTIC","12"
"97",4,"IPI+SRG",9,0.323798240000002,0,8,0.0404747800000003,18,18.04047478,"IPI+SRG","9"
"98",4,"NIV",3,735.145689675,11,128,6,18,24,"NIV","3"
"99",4,"NIV",4,1136.10783687,18,198,6,18,24,"NIV","4"
"100",4,"NIV+IPI",4,1202.12159933,11,210,6,18,24,"NIV+IPI","4"
"101",4,"NIV+IPI",5,372.42791198,5,65,6,18,24,"NIV+IPI","5"
"102",4,"PEM",10,1856.39022941,36,329,6,18,24,"PEM","10"
"103",4,"SEL+DTIC",13,49.634528065,2,15,6,18,24,"SEL+DTIC","13"
"104",4,"TRL",11,592.13716289,30,115,6,18,24,"TRL","11"
"105",4,"VM",2,660.34860542,35,130,6,18,24,"VM","2"
"106",4,"VM",6,430.186335655,20,106,6,18,24,"VM","6"
"107",4,"VM",8,7.00956022,1,7,2.13001912,18,20.13001912,"VM","8"
"108",4,"VM+COB",6,591.441121105,23,139,6,18,24,"VM+COB","6"
"109",5,"DB",1,1851.775585115,32,75,41.65483476,24,65.65483476,"DB","1"
"110",5,"DB",7,1038.01862323,22,84,20.50980392,24,44.50980392,"DB","7"
"111",5,"DB+TR",7,1325.17300879,19,96,19.35687158,24,43.35687158,"DB+TR","7"
"112",5,"DTIC",1,453.716583815,6,16,39.35373317,24,63.35373317,"DTIC","1"
"113",5,"DTIC",2,1346.71653521,25,71,32.11401172,24,56.11401172,"DTIC","2"
"114",5,"DTIC",3,878.504340895,16,51,27.58523726,24,51.58523726,"DTIC","3"
"115",5,"DTIC",11,812.86885232,25,72,22.39430519,24,46.39430519,"DTIC","11"
"116",5,"DTIC",12,1079.559940065,23,44,49.05623259,24,73.05623259,"DTIC","12"
"117",5,"DTIC",13,0.113207539999998,0,2,0.0566037699999988,24,24.05660377,"DTIC","13"
"118",5,"IPI",4,2772.739522925,46,135,44.44241807,24,68.44241807,"IPI","4"
"119",5,"IPI",5,41.56192775,1,22,4.1078225,24,28.1078225,"IPI","5"
"120",5,"IPI",10,2946.4787751,27,103,38.46085011,24,62.46085011,"IPI","10"
"121",5,"IPI+DTIC",12,1932.2298503,25,68,47.92200557,24,71.92200557,"IPI+DTIC","12"
"122",5,"NIV",3,2146.915841925,26,116,27.37434095,24,51.37434095,"NIV","3"
"123",5,"NIV",4,5906.25603603,49,180,44.55003153,24,68.55003153,"NIV","4"
"124",5,"NIV+IPI",4,6692.106026805,39,197,45.41572489,24,69.41572489,"NIV+IPI","4"
"125",5,"NIV+IPI",5,106.040009055,1,57,4.33424283,24,28.33424283,"NIV+IPI","5"
"126",5,"PEM",10,8039.76771504,77,293,38.28187919,24,62.28187919,"PEM","10"
"127",5,"SEL+DTIC",13,0.792452829999998,0,1,0.792452829999998,24,24.79245283,"SEL+DTIC","13"
"128",5,"TRL",11,1027.972737845,21,84,23.10710697,24,47.10710697,"TRL","11"
"129",5,"VM",2,1748.41992359,37,94,35.28679983,24,59.28679983,"VM","2"
"130",5,"VM",6,87.846534605,6,41,3.75742574,24,27.75742574,"VM","6"
"131",5,"VM+COB",6,125.91834796,3,48,5.60530122,24,29.60530122,"VM+COB","6"
