"studyCode","study","t1","t2","rmst0","rmst0_se","rmst0_lci","rmst0_uci","rmst1","rmst1_se","rmst1_lci","rmst1_uci","rmstD","rmstD_lci","rmstD_uci"
1,"BREAK-3",1,4,13.3340500918287,0.702487863939069,11.9571991789316,14.7109010047257,14.075855674303,0.397061379812084,13.2976296702196,14.8540816783865,0.741805582474361,-0.839761409397039,2.32337257434576
2,"BRIM-3",1,6,10.6895759360307,0.371255899396757,9.96192774416501,11.4172241278964,12.6395855041747,0.296883654548833,12.0577042336604,13.221466774689,1.95000956814402,1.01831342448947,2.88170571179858
3,"CheckMate 066",1,9,11.2700643381536,0.431389101469346,10.4245572359506,12.1155714403566,14.1945941389806,0.40657753452336,13.3977168143917,14.9914714635695,2.924529800827,1.76267966835738,4.08637993329661
11,"Ribas 2013",1,2,11.1088912407751,0.329132531749564,10.4638033324054,11.7539791491447,11.6557445088159,0.337760488428413,10.9937461160956,12.3177429015363,0.546853268040847,-0.377473666268128,1.47118020234982
12,"Robert 2011",1,3,9.91291682078017,0.387239329736963,9.1539416810983,10.671891960462,11.3182920389627,0.393822688160318,10.5464137538738,12.0901703240517,1.40537521818256,0.322859929769958,2.48789050659516
13,"Robert 2013",1,13,11.6886063228659,0.823940747675347,10.0737121320273,13.3035005137046,12.5446566833809,0.781346181488112,11.0132463082063,14.0760670585555,0.856050360514935,-1.36950597101139,3.08160669204126
5,"CheckMate 069",8,10,13.467328666937,0.886141676340762,11.7305228961092,15.2041344377649,14.1541357418211,0.649203616182941,12.8817200354693,15.4265514481728,0.686807074884015,-1.46622242220874,2.83983657197677
9,"Hodi 2014",8,12,11.74240782432,0.60476168051981,10.5570967112712,12.9277189373687,13.4953243724053,0.567762725936863,12.3825298778048,14.6081188670058,1.75291654808531,0.127101668730921,3.37873142743969
10,"Keynote 006",8,11,12.4962385690092,0.38850853831404,11.7347758262274,13.257701311791,14.3474836428495,0.236525309257034,13.8839025552735,14.8110647304255,1.85124507384036,0.959767124924658,2.74272302275606
7,"COMBI-d",4,5,13.5022960388915,0.389835896668044,12.7382317215413,14.2663603562417,14.6685031889761,0.340568614276448,14.0010009707295,15.3360054072226,1.16620715008457,0.151636554999159,2.18077774516998
8,"COMBI-v",5,6,14.8294047820961,0.272985617728266,14.2943628030513,15.364446761141,13.7100356838528,0.31337592369159,13.0958301597953,14.3242412079103,-1.11936909824337,-1.93393545227657,-0.304802744210177
6,"COBRIM",6,7,13.4649734354248,0.365991182395892,12.7476438992696,14.1823029715799,14.8705047869973,0.316701911565642,14.2497804464936,15.4912291275009,1.4055313515725,0.456921647671953,2.35414105547306
4,"CheckMate 067",8,9,9.97947463466457,0.192529643154845,9.60212346812473,10.3568258012044,10.3845307883136,0.178953117526811,10.0337891230399,10.7352724535873,0.405056153649058,-0.110126938705456,0.920239246003572
4,"CheckMate 067",8,10,9.97947463466457,0.192529643154845,9.60212346812473,10.3568258012044,10.383872384942,0.180449828433952,10.030197220195,10.737547549689,0.404397750277449,-0.112786960486301,0.921582461041198
4,"CheckMate 067",9,10,14.5720378054283,0.312968936163688,13.9586299622677,15.1854456485889,14.1184790383107,0.229496820064091,13.6686735364187,14.5682845402028,-0.453558767117558,-1.21421254616778,0.307095011932665
