Results - based on chains 2 & 3 only as evidence of non-convergence with chain 1
30,000 burn in 70,000 iterations, seed 385916

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[1,57]	0.1551	0.1648	0.002661	0.1085	0.2734	210000
	S[1,58]	0.1525	0.1652	0.002713	0.1049	0.2682	210000
	S[1,59]	0.15	0.1657	0.002597	0.1015	0.2634	210000
	S[1,60]	0.1476	0.1661	0.002726	0.09824	0.2588	210000
	S[1,61]	0.1452	0.1665	0.002762	0.09504	0.2564	210000
	S[1,62]	0.143	0.1669	0.002565	0.09193	0.2548	210000
	S[1,63]	0.1408	0.1672	0.002521	0.08894	0.2523	210000
	S[1,64]	0.1387	0.1676	0.002947	0.08603	0.2534	210000
	S[1,65]	0.1366	0.168	0.002991	0.08323	0.2508	210000
	S[1,66]	0.1347	0.1683	0.002413	0.08054	0.2417	210000
	S[1,67]	0.1328	0.1686	0.002349	0.07789	0.2351	210000
	S[1,68]	0.1309	0.169	0.002778	0.07538	0.236	210000
	S[1,69]	0.1291	0.1693	0.002802	0.07295	0.2347	210000
	S[1,70]	0.1274	0.1696	0.0023	0.0706	0.2319	210000
	S[1,71]	0.1257	0.1699	0.002862	0.06834	0.2295	210000
	S[1,72]	0.1241	0.1701	0.002708	0.06614	0.228	210000
	S[1,73]	0.1226	0.1704	0.002864	0.06403	0.2259	210000
	S[1,74]	0.121	0.1706	0.002492	0.06197	0.2238	210000
	S[1,75]	0.1196	0.1709	0.002676	0.06001	0.2208	210000
	S[1,76]	0.1181	0.1711	0.002682	0.05811	0.2172	210000
	S[1,77]	0.1168	0.1713	0.003038	0.05625	0.2172	210000
	S[1,78]	0.1154	0.1715	0.002947	0.0545	0.2114	210000
	S[1,79]	0.1141	0.1717	0.002545	0.05276	0.21	210000
	S[1,80]	0.1129	0.1719	0.002457	0.05109	0.2042	210000
	S[1,81]	0.1117	0.1721	0.002385	0.04948	0.2011	210000
	S[1,82]	0.1105	0.1723	0.002618	0.04789	0.1981	210000
	S[1,83]	0.1094	0.1725	0.002618	0.04639	0.1941	210000
	S[1,84]	0.1083	0.1726	0.00236	0.04494	0.1897	210000
	S[1,85]	0.1072	0.1728	0.002857	0.04351	0.1883	210000
	S[1,86]	0.1061	0.1729	0.002779	0.04214	0.1855	210000
	S[1,87]	0.1051	0.173	0.002791	0.04079	0.1822	210000
	S[1,88]	0.1042	0.1731	0.002691	0.03951	0.1791	210000
	S[1,89]	0.1032	0.1733	0.002735	0.03827	0.1725	210000
	S[1,90]	0.1023	0.1734	0.002475	0.03707	0.1682	210000
	S[1,91]	0.1014	0.1735	0.002744	0.0359	0.1661	210000
	S[1,92]	0.1006	0.1736	0.002983	0.03477	0.1634	210000
	S[1,93]	0.09972	0.1736	0.002397	0.03368	0.1577	210000
	S[1,94]	0.0989	0.1737	0.00242	0.03263	0.161	210000
	S[1,95]	0.09811	0.1738	0.00267	0.03159	0.1577	210000
	S[1,96]	0.09735	0.1739	0.002554	0.03061	0.1574	210000
	S[1,97]	0.09661	0.1739	0.002762	0.02966	0.1557	210000
	S[1,98]	0.09588	0.174	0.002516	0.02873	0.1528	210000
	S[1,99]	0.09518	0.174	0.002716	0.02784	0.1499	210000
	S[1,100]	0.0945	0.1741	0.002412	0.02698	0.1473	210000
	S[1,101]	0.09384	0.1741	0.002507	0.02613	0.147	210000
	S[1,102]	0.0932	0.1741	0.002817	0.02533	0.144	210000
	S[1,103]	0.09258	0.1742	0.00251	0.02455	0.1467	210000
	S[1,104]	0.09197	0.1742	0.002853	0.02379	0.1424	210000
	S[1,105]	0.09138	0.1742	0.0025	0.02306	0.1395	210000
	S[1,106]	0.09081	0.1742	0.002829	0.02235	0.1384	210000
	S[1,107]	0.09025	0.1742	0.002684	0.02167	0.1355	210000
	S[1,108]	0.08971	0.1742	0.002512	0.021	0.132	210000
	S[1,109]	0.08919	0.1742	0.002759	0.02037	0.133	210000
	S[1,110]	0.08867	0.1742	0.002762	0.01975	0.1314	210000
	S[1,111]	0.08818	0.1742	0.002422	0.01914	0.1302	210000
	S[1,112]	0.08769	0.1742	0.002884	0.01856	0.1281	210000
	S[1,113]	0.08722	0.1742	0.00296	0.01799	0.127	210000
	S[1,114]	0.08676	0.1742	0.002439	0.01744	0.1249	210000
	S[1,115]	0.08632	0.1742	0.002576	0.01691	0.1222	210000
	S[1,116]	0.08588	0.1741	0.002291	0.01639	0.1209	210000
	S[1,117]	0.08546	0.1741	0.002313	0.01589	0.1231	210000
	S[1,118]	0.08505	0.1741	0.00228	0.01541	0.1218	210000
	S[1,119]	0.08465	0.174	0.00244	0.01494	0.1205	210000
	S[1,120]	0.08426	0.174	0.002675	0.01448	0.1188	210000
	S[2,1]	0.7075	0.3296	0.00195	0.8811	0.9562	210000
	S[2,2]	0.6634	0.3117	0.001929	0.82	0.9208	210000
	S[2,3]	0.6317	0.2967	0.001925	0.7754	0.89	210000
	S[2,4]	0.6055	0.2839	0.001925	0.7386	0.862	210000
	S[2,5]	0.5826	0.2725	0.001925	0.7068	0.8368	210000
	S[2,6]	0.5621	0.2623	0.001924	0.6783	0.8123	210000
	S[2,7]	0.5433	0.2531	0.001924	0.6524	0.7892	210000
	S[2,8]	0.5259	0.2446	0.001924	0.6288	0.7678	210000
	S[2,9]	0.5097	0.2369	0.001924	0.6063	0.7494	210000
	S[2,10]	0.4945	0.2297	0.001924	0.585	0.7306	210000
	S[2,11]	0.4801	0.2231	0.001923	0.565	0.7152	210000
	S[2,12]	0.4665	0.217	0.001923	0.546	0.6982	210000
	S[2,13]	0.4535	0.2113	0.001924	0.5282	0.6821	210000
	S[2,14]	0.4412	0.2061	0.001923	0.5111	0.6682	210000
	S[2,15]	0.4295	0.2013	0.001923	0.4951	0.6525	210000
	S[2,16]	0.4182	0.1968	0.001923	0.4793	0.6369	210000
	S[2,17]	0.4075	0.1927	0.001923	0.4642	0.6246	210000
	S[2,18]	0.3971	0.1889	0.001923	0.45	0.6137	210000
	S[2,19]	0.3872	0.1854	0.001923	0.436	0.6006	210000
	S[2,20]	0.3777	0.1821	0.001923	0.4226	0.5898	210000
	S[2,21]	0.3686	0.1792	0.001923	0.4096	0.5787	210000
	S[2,22]	0.3598	0.1765	0.001923	0.3969	0.5694	210000
	S[2,23]	0.3513	0.174	0.001923	0.3852	0.558	210000
	S[2,24]	0.3431	0.1717	0.001923	0.3738	0.5468	210000
	S[2,25]	0.3353	0.1697	0.001923	0.3629	0.5363	210000
	S[2,26]	0.3277	0.1678	0.001923	0.3526	0.5287	210000
	S[2,27]	0.3203	0.1661	0.001923	0.3424	0.5204	210000
	S[2,28]	0.3132	0.1646	0.001923	0.3327	0.5103	210000
	S[2,29]	0.3064	0.1632	0.001923	0.323	0.5024	210000
