Results - 30,000 burn in, 70,000 iterations

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[1,57]	0.1221	0.02229	0.08225	0.1208	0.1691	210000
	S[1,58]	0.1189	0.0221	0.0794	0.1176	0.1656	210000
	S[1,59]	0.1157	0.0219	0.07665	0.1144	0.1622	210000
	S[1,60]	0.1127	0.02171	0.07404	0.1114	0.1588	210000
	S[1,61]	0.1098	0.02152	0.07153	0.1084	0.1555	210000
	S[1,62]	0.1069	0.02133	0.06911	0.1056	0.1523	210000
	S[1,63]	0.1041	0.02114	0.06677	0.1028	0.1492	210000
	S[1,64]	0.1015	0.02095	0.06448	0.1001	0.1461	210000
	S[1,65]	0.09887	0.02075	0.06226	0.09751	0.1432	210000
	S[1,66]	0.09635	0.02056	0.06019	0.09497	0.1403	210000
	S[1,67]	0.0939	0.02037	0.05816	0.0925	0.1375	210000
	S[1,68]	0.09153	0.02018	0.0562	0.0901	0.1348	210000
	S[1,69]	0.08923	0.01999	0.05431	0.08778	0.1322	210000
	S[1,70]	0.087	0.0198	0.05249	0.08554	0.1296	210000
	S[1,71]	0.08483	0.01961	0.05073	0.08337	0.1271	210000
	S[1,72]	0.08273	0.01943	0.04903	0.08126	0.1247	210000
	S[1,73]	0.08068	0.01924	0.04736	0.07921	0.1222	210000
	S[1,74]	0.0787	0.01905	0.04577	0.07722	0.1199	210000
	S[1,75]	0.07678	0.01886	0.04424	0.07529	0.1176	210000
	S[1,76]	0.07491	0.01868	0.04276	0.07341	0.1154	210000
	S[1,77]	0.07309	0.01849	0.04133	0.07158	0.1133	210000
	S[1,78]	0.07132	0.01831	0.03996	0.06979	0.1111	210000
	S[1,79]	0.06961	0.01812	0.03865	0.06807	0.1091	210000
	S[1,80]	0.06794	0.01794	0.03738	0.06638	0.1071	210000
	S[1,81]	0.06632	0.01776	0.03613	0.06475	0.1052	210000
	S[1,82]	0.06474	0.01758	0.03493	0.06316	0.1033	210000
	S[1,83]	0.06321	0.01739	0.03378	0.06163	0.1014	210000
	S[1,84]	0.06172	0.01722	0.03268	0.06013	0.0996	210000
	S[1,85]	0.06027	0.01704	0.03159	0.05866	0.0978	210000
	S[1,86]	0.05886	0.01686	0.03056	0.05725	0.09603	210000
	S[1,87]	0.05749	0.01668	0.02955	0.05587	0.09434	210000
	S[1,88]	0.05616	0.01651	0.02856	0.05454	0.09264	210000
	S[1,89]	0.05486	0.01633	0.02762	0.05323	0.09103	210000
	S[1,90]	0.0536	0.01616	0.02672	0.05196	0.08942	210000
	S[1,91]	0.05237	0.01599	0.02585	0.05073	0.08791	210000
	S[1,92]	0.05117	0.01582	0.02502	0.04953	0.08639	210000
	S[1,93]	0.05001	0.01565	0.0242	0.04836	0.08491	210000
	S[1,94]	0.04887	0.01548	0.02342	0.04723	0.08347	210000
	S[1,95]	0.04777	0.01531	0.02266	0.04612	0.08202	210000
	S[1,96]	0.04669	0.01515	0.02193	0.04504	0.08063	210000
	S[1,97]	0.04564	0.01498	0.02122	0.04399	0.07927	210000
	S[1,98]	0.04462	0.01482	0.02054	0.04297	0.07794	210000
	S[1,99]	0.04363	0.01465	0.01988	0.04197	0.07665	210000
	S[1,100]	0.04266	0.01449	0.01923	0.041	0.07536	210000
	S[1,101]	0.04172	0.01433	0.01861	0.04005	0.07409	210000
	S[1,102]	0.0408	0.01418	0.01801	0.03913	0.07288	210000
	S[1,103]	0.0399	0.01402	0.01741	0.03823	0.07169	210000
	S[1,104]	0.03903	0.01386	0.01685	0.03736	0.07048	210000
	S[1,105]	0.03818	0.01371	0.01631	0.03651	0.06933	210000
	S[1,106]	0.03735	0.01356	0.01578	0.03568	0.06819	210000
	S[1,107]	0.03654	0.01341	0.01527	0.03487	0.06708	210000
	S[1,108]	0.03575	0.01326	0.01478	0.03407	0.06599	210000
	S[1,109]	0.03498	0.01311	0.01431	0.0333	0.06495	210000
	S[1,110]	0.03423	0.01296	0.01385	0.03255	0.06391	210000
	S[1,111]	0.0335	0.01281	0.01341	0.03182	0.0629	210000
	S[1,112]	0.03279	0.01267	0.01297	0.0311	0.0619	210000
	S[1,113]	0.03209	0.01253	0.01257	0.03041	0.06094	210000
	S[1,114]	0.03141	0.01239	0.01216	0.02973	0.06001	210000
	S[1,115]	0.03075	0.01225	0.01177	0.02907	0.05905	210000
	S[1,116]	0.0301	0.01211	0.01139	0.02842	0.05814	210000
	S[1,117]	0.02947	0.01197	0.01102	0.02779	0.05725	210000
	S[1,118]	0.02885	0.01183	0.01067	0.02718	0.05636	210000
	S[1,119]	0.02825	0.0117	0.01032	0.02658	0.0555	210000
	S[1,120]	0.02767	0.01156	0.00998	0.02599	0.05465	210000
	S[2,1]	0.9127	0.0234	0.8596	0.9153	0.9504	210000
	S[2,2]	0.8511	0.03428	0.7748	0.8541	0.9084	210000
	S[2,3]	0.8015	0.04054	0.7128	0.8045	0.8708	210000
	S[2,4]	0.7593	0.04442	0.6633	0.7622	0.8367	210000
	S[2,5]	0.7225	0.04688	0.6222	0.7252	0.8052	210000
	S[2,6]	0.6896	0.04845	0.5867	0.6921	0.776	210000
	S[2,7]	0.6599	0.0494	0.5559	0.6622	0.7488	210000
	S[2,8]	0.6328	0.04993	0.5284	0.6348	0.7232	210000
	S[2,9]	0.6078	0.05016	0.5036	0.6097	0.6994	210000
	S[2,10]	0.5847	0.05018	0.4809	0.5864	0.6769	210000
	S[2,11]	0.5632	0.05005	0.4602	0.5647	0.6557	210000
	S[2,12]	0.5431	0.04981	0.4412	0.5445	0.6358	210000
	S[2,13]	0.5242	0.04949	0.4237	0.5255	0.6168	210000
	S[2,14]	0.5065	0.04912	0.4074	0.5076	0.5989	210000
	S[2,15]	0.4898	0.04872	0.3917	0.4907	0.5819	210000
	S[2,16]	0.474	0.0483	0.3769	0.4748	0.5656	210000
	S[2,17]	0.459	0.04786	0.3631	0.4596	0.5502	210000
	S[2,18]	0.4447	0.04743	0.35	0.4453	0.5357	210000
	S[2,19]	0.4312	0.047	0.3377	0.4316	0.5216	210000
	S[2,20]	0.4183	0.04657	0.3261	0.4186	0.5082	210000
	S[2,21]	0.4061	0.04616	0.3148	0.4062	0.4955	210000
	S[2,22]	0.3943	0.04576	0.3042	0.3943	0.4833	210000
	S[2,23]	0.3831	0.04537	0.2941	0.383	0.4716	210000
	S[2,24]	0.3724	0.045	0.2843	0.3722	0.4606	210000
	S[2,25]	0.3621	0.04465	0.2751	0.3617	0.4498	210000
	S[2,26]	0.3522	0.04431	0.2661	0.3518	0.4395	210000
	S[2,27]	0.3428	0.04398	0.2575	0.3422	0.4297	210000
	S[2,28]	0.3337	0.04367	0.2492	0.3331	0.4202	210000
	S[2,29]	0.3249	0.04338	0.2413	0.3242	0.4112	210000
	S[2,30]	0.3165	0.04309	0.2336	0.3158	0.4023	210000
	S[2,31]	0.3084	0.04282	0.2263	0.3076	0.3938	210000
	S[2,32]	0.3006	0.04256	0.2191	0.2998	0.3857	210000
	S[2,33]	0.2931	0.04231	0.2123	0.2922	0.378	210000
	S[2,34]	0.2859	0.04208	0.2057	0.2849	0.3705	210000
	S[2,35]	0.2789	0.04185	0.1993	0.2779	0.3633	210000
	S[2,36]	0.2721	0.04163	0.1933	0.2711	0.3562	210000
	S[2,37]	0.2656	0.04141	0.1872	0.2646	0.3494	210000
	S[2,38]	0.2593	0.04121	0.1815	0.2582	0.343	210000
	S[2,39]	0.2532	0.04101	0.1759	0.2521	0.3366	210000
	S[2,40]	0.2473	0.04081	0.1705	0.2462	0.3304	210000
	S[2,41]	0.2416	0.04062	0.1654	0.2404	0.3246	210000
	S[2,42]	0.2361	0.04044	0.1603	0.2349	0.3188	210000
	S[2,43]	0.2307	0.04025	0.1554	0.2295	0.3132	210000
	S[2,44]	0.2255	0.04007	0.1507	0.2243	0.3078	210000
	S[2,45]	0.2205	0.0399	0.1462	0.2192	0.3025	210000
	S[2,46]	0.2156	0.03972	0.1418	0.2143	0.2975	210000
	S[2,47]	0.2109	0.03955	0.1375	0.2095	0.2926	210000
	S[2,48]	0.2063	0.03938	0.1335	0.2049	0.2877	210000
	S[2,49]	0.2019	0.03921	0.1295	0.2004	0.283	210000
	S[2,50]	0.1975	0.03905	0.1256	0.1961	0.2784	210000
	S[2,51]	0.1933	0.03888	0.1218	0.1919	0.274	210000
	S[2,52]	0.1893	0.03871	0.1182	0.1877	0.2696	210000
	S[2,53]	0.1853	0.03855	0.1146	0.1837	0.2653	210000
	S[2,54]	0.1815	0.03838	0.1112	0.1799	0.2613	210000
	S[2,55]	0.1777	0.03821	0.108	0.1761	0.2573	210000
	S[2,56]	0.1741	0.03805	0.1048	0.1724	0.2534	210000
	S[2,57]	0.1705	0.03788	0.1017	0.1688	0.2496	210000
	S[2,58]	0.1671	0.03771	0.09865	0.1654	0.2459	210000
	S[2,59]	0.1637	0.03755	0.09575	0.162	0.2423	210000
	S[2,60]	0.1605	0.03738	0.09292	0.1587	0.2388	210000
	S[2,61]	0.1573	0.03721	0.09023	0.1555	0.2354	210000
	S[2,62]	0.1542	0.03704	0.08758	0.1523	0.232	210000
	S[2,63]	0.1512	0.03687	0.08497	0.1493	0.2287	210000
	S[2,64]	0.1483	0.0367	0.08244	0.1463	0.2256	210000
	S[2,65]	0.1454	0.03653	0.08002	0.1434	0.2224	210000
	S[2,66]	0.1426	0.03636	0.07771	0.1406	0.2194	210000
	S[2,67]	0.1399	0.03618	0.0755	0.1378	0.2164	210000
	S[2,68]	0.1373	0.03601	0.0733	0.1352	0.2134	210000
	S[2,69]	0.1347	0.03584	0.07119	0.1325	0.2106	210000
	S[2,70]	0.1322	0.03566	0.06907	0.13	0.2078	210000
	S[2,71]	0.1297	0.03548	0.06708	0.1275	0.2051	210000
	S[2,72]	0.1273	0.03531	0.06509	0.1251	0.2025	210000
	S[2,73]	0.125	0.03513	0.06318	0.1227	0.1999	210000
	S[2,74]	0.1227	0.03495	0.06136	0.1204	0.1973	210000
	S[2,75]	0.1205	0.03477	0.05956	0.1181	0.1949	210000
	S[2,76]	0.1183	0.0346	0.05788	0.1159	0.1925	210000
	S[2,77]	0.1162	0.03442	0.05623	0.1138	0.1902	210000
	S[2,78]	0.1141	0.03424	0.05462	0.1117	0.1878	210000
	S[2,79]	0.1121	0.03406	0.05307	0.1096	0.1855	210000
	S[2,80]	0.1101	0.03388	0.05156	0.1076	0.1832	210000
	S[2,81]	0.1082	0.03369	0.05007	0.1056	0.181	210000
	S[2,82]	0.1063	0.03351	0.04865	0.1037	0.1789	210000
	S[2,83]	0.1044	0.03333	0.0473	0.1018	0.1767	210000
	S[2,84]	0.1026	0.03315	0.04602	0.1	0.1746	210000
	S[2,85]	0.1009	0.03297	0.04474	0.09822	0.1725	210000
	S[2,86]	0.09913	0.03278	0.04347	0.09645	0.1704	210000
	S[2,87]	0.09745	0.0326	0.04225	0.09476	0.1684	210000
	S[2,88]	0.0958	0.03242	0.04106	0.09307	0.1665	210000
	S[2,89]	0.09418	0.03224	0.03992	0.09143	0.1647	210000
	S[2,90]	0.09261	0.03205	0.03881	0.08985	0.1628	210000
	S[2,91]	0.09106	0.03187	0.03772	0.08827	0.1609	210000
	S[2,92]	0.08955	0.03169	0.03666	0.08672	0.1591	210000
	S[2,93]	0.08808	0.03151	0.03563	0.08521	0.1573	210000
	S[2,94]	0.08663	0.03132	0.03464	0.08373	0.1555	210000
	S[2,95]	0.08521	0.03114	0.03367	0.08228	0.1538	210000
	S[2,96]	0.08383	0.03096	0.03272	0.08088	0.1521	210000
	S[2,97]	0.08247	0.03078	0.03178	0.07951	0.1505	210000
	S[2,98]	0.08114	0.0306	0.03089	0.07816	0.1488	210000
	S[2,99]	0.07984	0.03042	0.03004	0.07682	0.1472	210000
	S[2,100]	0.07857	0.03024	0.0292	0.07551	0.1457	210000
	S[2,101]	0.07732	0.03005	0.02839	0.07425	0.1441	210000
	S[2,102]	0.0761	0.02987	0.02761	0.07301	0.1425	210000
	S[2,103]	0.0749	0.0297	0.02684	0.07178	0.1411	210000
	S[2,104]	0.07373	0.02952	0.02607	0.07059	0.1396	210000
	S[2,105]	0.07258	0.02934	0.02535	0.06941	0.1382	210000
	S[2,106]	0.07146	0.02916	0.02466	0.06825	0.1367	210000
	S[2,107]	0.07035	0.02898	0.02396	0.06712	0.1354	210000
	S[2,108]	0.06927	0.0288	0.02331	0.06601	0.134	210000
	S[2,109]	0.06821	0.02863	0.02266	0.06493	0.1327	210000
	S[2,110]	0.06717	0.02845	0.02203	0.06386	0.1314	210000
	S[2,111]	0.06615	0.02828	0.02142	0.06283	0.1301	210000
	S[2,112]	0.06515	0.0281	0.02083	0.06181	0.1288	210000
	S[2,113]	0.06417	0.02793	0.02024	0.0608	0.1275	210000
	S[2,114]	0.06321	0.02775	0.01968	0.05983	0.1263	210000
	S[2,115]	0.06227	0.02758	0.01915	0.05885	0.1251	210000
	S[2,116]	0.06135	0.02741	0.01863	0.05791	0.1239	210000
	S[2,117]	0.06044	0.02724	0.01812	0.057	0.1227	210000
	S[2,118]	0.05955	0.02707	0.0176	0.05609	0.1215	210000
	S[2,119]	0.05868	0.0269	0.01712	0.05518	0.1204	210000
	S[2,120]	0.05782	0.02673	0.01666	0.0543	0.1192	210000
	S[3,1]	0.9274	0.01939	0.8836	0.9298	0.9586	210000
	S[3,2]	0.8755	0.02888	0.8115	0.8786	0.9232	210000
	S[3,3]	0.8333	0.03464	0.7577	0.8366	0.8915	210000
	S[3,4]	0.7972	0.03845	0.7142	0.8003	0.863	210000
	S[3,5]	0.7653	0.04108	0.6775	0.7683	0.8365	210000
	S[3,6]	0.7366	0.04295	0.6453	0.7395	0.812	210000
	S[3,7]	0.7105	0.04428	0.6171	0.7132	0.7889	210000
	S[3,8]	0.6864	0.04525	0.5916	0.6891	0.7671	210000
	S[3,9]	0.6642	0.04594	0.5684	0.6667	0.7468	210000
	S[3,10]	0.6435	0.04642	0.5471	0.6457	0.7275	210000
	S[3,11]	0.624	0.04676	0.5276	0.6261	0.7092	210000
	S[3,12]	0.6058	0.04698	0.5092	0.6078	0.6918	210000
	S[3,13]	0.5886	0.04712	0.492	0.5905	0.6753	210000
	S[3,14]	0.5723	0.0472	0.4759	0.574	0.6597	210000
	S[3,15]	0.5568	0.04722	0.4607	0.5584	0.6447	210000
	S[3,16]	0.5421	0.04722	0.4463	0.5435	0.6305	210000
	S[3,17]	0.528	0.04718	0.4326	0.5294	0.6168	210000
	S[3,18]	0.5147	0.04713	0.4196	0.5159	0.6036	210000
	S[3,19]	0.5019	0.04707	0.4072	0.503	0.591	210000
	S[3,20]	0.4896	0.047	0.3953	0.4906	0.5789	210000
	S[3,21]	0.4779	0.04692	0.3841	0.4787	0.5673	210000
	S[3,22]	0.4666	0.04684	0.3731	0.4673	0.5562	210000
	S[3,23]	0.4558	0.04677	0.3627	0.4564	0.5456	210000
	S[3,24]	0.4453	0.04669	0.3527	0.4459	0.5352	210000
	S[3,25]	0.4353	0.04662	0.343	0.4358	0.5252	210000
	S[3,26]	0.4256	0.04655	0.3336	0.426	0.5155	210000
	S[3,27]	0.4163	0.04648	0.3248	0.4167	0.5063	210000
	S[3,28]	0.4073	0.04642	0.316	0.4076	0.4974	210000
	S[3,29]	0.3986	0.04636	0.3076	0.3989	0.4888	210000
	S[3,30]	0.3902	0.04631	0.2994	0.3904	0.4806	210000
	S[3,31]	0.382	0.04625	0.2916	0.3822	0.4724	210000
	S[3,32]	0.3741	0.04621	0.2839	0.3743	0.4646	210000
	S[3,33]	0.3665	0.04616	0.2765	0.3665	0.4571	210000
	S[3,34]	0.3591	0.04612	0.2693	0.3591	0.4498	210000
	S[3,35]	0.352	0.04608	0.2624	0.3519	0.4428	210000
	S[3,36]	0.345	0.04604	0.2557	0.3449	0.4358	210000
	S[3,37]	0.3383	0.04601	0.2492	0.338	0.429	210000
	S[3,38]	0.3317	0.04597	0.2429	0.3314	0.4226	210000
	S[3,39]	0.3254	0.04594	0.2367	0.325	0.4163	210000
	S[3,40]	0.3192	0.04591	0.2308	0.3187	0.4102	210000
	S[3,41]	0.3132	0.04588	0.2249	0.3127	0.4042	210000
	S[3,42]	0.3073	0.04584	0.2193	0.3068	0.3986	210000
	S[3,43]	0.3016	0.04581	0.2138	0.3011	0.3929	210000
	S[3,44]	0.2961	0.04578	0.2084	0.2955	0.3873	210000
	S[3,45]	0.2907	0.04574	0.2033	0.29	0.382	210000
	S[3,46]	0.2855	0.04571	0.1983	0.2848	0.3768	210000
	S[3,47]	0.2804	0.04567	0.1932	0.2796	0.3718	210000
	S[3,48]	0.2754	0.04564	0.1885	0.2746	0.3669	210000
	S[3,49]	0.2706	0.0456	0.1839	0.2697	0.3621	210000
	S[3,50]	0.2659	0.04556	0.1794	0.2649	0.3574	210000
	S[3,51]	0.2612	0.04551	0.1749	0.2603	0.3528	210000
	S[3,52]	0.2568	0.04547	0.1706	0.2557	0.3483	210000
	S[3,53]	0.2524	0.04542	0.1665	0.2513	0.344	210000
	S[3,54]	0.2481	0.04537	0.1624	0.247	0.3398	210000
	S[3,55]	0.2439	0.04532	0.1585	0.2428	0.3357	210000
	S[3,56]	0.2398	0.04527	0.1546	0.2387	0.3315	210000
	S[3,57]	0.2359	0.04521	0.1509	0.2347	0.3275	210000
	S[3,58]	0.232	0.04515	0.1473	0.2307	0.3236	210000
	S[3,59]	0.2282	0.04509	0.1437	0.2269	0.3198	210000
	S[3,60]	0.2245	0.04503	0.1403	0.2231	0.3161	210000
	S[3,61]	0.2208	0.04496	0.1369	0.2195	0.3124	210000
	S[3,62]	0.2173	0.04489	0.1336	0.2159	0.3088	210000
	S[3,63]	0.2138	0.04482	0.1304	0.2124	0.3053	210000
	S[3,64]	0.2104	0.04474	0.1273	0.209	0.3018	210000
	S[3,65]	0.2071	0.04467	0.1243	0.2057	0.2985	210000
	S[3,66]	0.2039	0.04459	0.1213	0.2024	0.2953	210000
	S[3,67]	0.2007	0.04451	0.1184	0.1992	0.2921	210000
	S[3,68]	0.1976	0.04442	0.1157	0.196	0.2889	210000
	S[3,69]	0.1946	0.04433	0.1129	0.1929	0.2858	210000
	S[3,70]	0.1916	0.04425	0.1102	0.1899	0.2828	210000
	S[3,71]	0.1887	0.04415	0.1076	0.187	0.2798	210000
	S[3,72]	0.1858	0.04406	0.1051	0.1841	0.2769	210000
	S[3,73]	0.1831	0.04396	0.1026	0.1812	0.274	210000
	S[3,74]	0.1803	0.04386	0.1002	0.1785	0.2712	210000
	S[3,75]	0.1776	0.04376	0.09787	0.1757	0.2684	210000
	S[3,76]	0.175	0.04366	0.09562	0.173	0.2656	210000
	S[3,77]	0.1724	0.04355	0.09339	0.1704	0.2629	210000
