Results - 30,000 burn in 70,000 iterations, seed 385916

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[1,58]	0.08352	0.01659	0.05445	0.0823	0.1195	210000
	S[1,59]	0.08003	0.01618	0.05176	0.07881	0.1152	210000
	S[1,60]	0.07669	0.01577	0.0492	0.07547	0.1111	210000
	S[1,61]	0.07349	0.01537	0.04677	0.07228	0.1071	210000
	S[1,62]	0.07043	0.01498	0.04445	0.06923	0.1032	210000
	S[1,63]	0.06749	0.0146	0.04226	0.0663	0.09951	210000
	S[1,64]	0.06468	0.01422	0.04016	0.06349	0.09594	210000
	S[1,65]	0.06198	0.01385	0.03816	0.0608	0.09249	210000
	S[1,66]	0.0594	0.01348	0.03628	0.05824	0.08919	210000
	S[1,67]	0.05693	0.01312	0.03447	0.05577	0.08596	210000
	S[1,68]	0.05456	0.01277	0.03277	0.05342	0.08289	210000
	S[1,69]	0.05229	0.01243	0.03113	0.05116	0.07989	210000
	S[1,70]	0.05011	0.01209	0.02958	0.04899	0.07703	210000
	S[1,71]	0.04803	0.01176	0.02811	0.04692	0.07428	210000
	S[1,72]	0.04603	0.01144	0.02671	0.04493	0.07162	210000
	S[1,73]	0.04412	0.01112	0.02538	0.04303	0.06906	210000
	S[1,74]	0.04228	0.01081	0.02411	0.04121	0.0666	210000
	S[1,75]	0.04053	0.01051	0.02291	0.03946	0.06425	210000
	S[1,76]	0.03884	0.01022	0.02176	0.03779	0.06193	210000
	S[1,77]	0.03723	0.009928	0.02068	0.03619	0.05971	210000
	S[1,78]	0.03569	0.009646	0.01965	0.03466	0.05759	210000
	S[1,79]	0.03421	0.009371	0.01866	0.03319	0.05555	210000
	S[1,80]	0.03279	0.009102	0.01773	0.03178	0.05357	210000
	S[1,81]	0.03143	0.00884	0.01683	0.03044	0.05165	210000
	S[1,82]	0.03013	0.008584	0.01598	0.02915	0.04982	210000
	S[1,83]	0.02888	0.008335	0.01517	0.02791	0.04805	210000
	S[1,84]	0.02768	0.008091	0.01441	0.02673	0.04631	210000
	S[1,85]	0.02653	0.007854	0.01367	0.0256	0.04466	210000
	S[1,86]	0.02544	0.007623	0.01298	0.02451	0.04308	210000
	S[1,87]	0.02438	0.007398	0.01231	0.02347	0.04158	210000
	S[1,88]	0.02337	0.007178	0.01168	0.02248	0.0401	210000
	S[1,89]	0.02241	0.006965	0.01108	0.02153	0.03867	210000
	S[1,90]	0.02148	0.006757	0.01051	0.02062	0.03729	210000
	S[1,91]	0.02059	0.006554	0.009962	0.01975	0.03596	210000
	S[1,92]	0.01974	0.006357	0.009445	0.01891	0.03469	210000
	S[1,93]	0.01893	0.006165	0.00895	0.01811	0.03346	210000
	S[1,94]	0.01815	0.005978	0.008479	0.01734	0.03228	210000
	S[1,95]	0.0174	0.005797	0.008026	0.0166	0.03114	210000
	S[1,96]	0.01668	0.00562	0.007611	0.0159	0.03004	210000
	S[1,97]	0.01599	0.005448	0.007213	0.01523	0.02897	210000
	S[1,98]	0.01533	0.005281	0.006826	0.01458	0.02793	210000
	S[1,99]	0.0147	0.005119	0.006471	0.01396	0.02693	210000
	S[1,100]	0.01409	0.004961	0.006116	0.01337	0.02599	210000
	S[1,101]	0.01351	0.004808	0.005787	0.0128	0.02508	210000
	S[1,102]	0.01296	0.004659	0.005474	0.01226	0.0242	210000
	S[1,103]	0.01242	0.004514	0.005174	0.01175	0.02335	210000
	S[1,104]	0.01191	0.004374	0.004874	0.01125	0.02252	210000
	S[1,105]	0.01142	0.004237	0.004592	0.01077	0.02173	210000
	S[1,106]	0.01095	0.004105	0.004337	0.01032	0.02097	210000
	S[1,107]	0.0105	0.003976	0.004068	0.009877	0.02023	210000
	S[1,108]	0.01007	0.003851	0.003818	0.009458	0.01952	210000
	S[1,109]	0.009655	0.00373	0.003585	0.009058	0.01884	210000
	S[1,110]	0.009258	0.003612	0.003367	0.008674	0.01819	210000
	S[1,111]	0.008878	0.003498	0.00315	0.008308	0.01754	210000
	S[1,112]	0.008513	0.003387	0.002937	0.007957	0.01694	210000
	S[1,113]	0.008164	0.003279	0.002728	0.00762	0.01635	210000
	S[1,114]	0.007829	0.003175	0.002519	0.007298	0.01578	210000
	S[1,115]	0.007507	0.003074	0.002328	0.006989	0.01523	210000
	S[1,116]	0.007199	0.002976	0.002134	0.006693	0.0147	210000
	S[1,117]	0.006904	0.002881	0.001952	0.00641	0.0142	210000
	S[1,118]	0.006621	0.002788	0.001776	0.006138	0.01371	210000
	S[1,119]	0.00635	0.002699	0.001605	0.005879	0.01325	210000
	S[1,120]	0.00609	0.002612	0.001431	0.00563	0.01279	210000
	S[2,1]	0.86	0.2056	0.1783	0.9471	0.9984	210000
	S[2,2]	0.8273	0.2044	0.1619	0.91	0.9814	210000
	S[2,3]	0.7976	0.1993	0.1544	0.8763	0.9559	210000
